State,County,Year,Days_with_AQI,Good_Days,Moderate_Days,Unhealthy_Sensitive_Days,Unhealthy_Days,Very_Unhealthy_Days,Hazardous_Days,Max_AQI,90th_Percentile_AQI,Median_AQI,Latitude,Longitude
Alabama,DeKalb,2021,58,58,0,0,0,0,0,49,42,32,34.289001,-85.970065
Alabama,Jefferson,2021,60,33,27,0,0,0,0,93,64,50,33.565278,-86.796389
Alaska,Denali ,2021,59,59,0,0,0,0,0,43,41,39,63.7232,-148.9676
Arizona,Apache,2021,87,87,0,0,0,0,0,25,19,11,34.058475,-109.441259
Arizona,Cochise,2021,90,77,12,1,0,0,0,104,54,41,32.00941,-109.38906
Arizona,Coconino,2021,89,87,2,0,0,0,0,51,45,41,35.225136,-111.607603
Arizona,Gila,2021,90,76,14,0,0,0,0,80,58,44,33.419017,-110.82967
Arizona,La Paz,2021,90,85,5,0,0,0,0,61,49,42,34.2439,-113.5586
Arizona,Maricopa,2021,120,6,22,21,33,38,0,272,217,166,33.503833,-112.095767
Arizona,Mohave,2021,90,90,0,0,0,0,0,46,22,12,36.019302,-114.069205
Arizona,Navajo,2021,90,90,0,0,0,0,0,45,43,35,33.85815,-109.97029
Arizona,Pima,2021,90,57,28,5,0,0,0,128,72,45,32.248712,-111.218494
Arizona,Pinal,2021,120,84,36,0,0,0,0,90,67,47,33.293465,-111.285594
Arizona,Santa Cruz,2021,90,47,42,0,1,0,0,166,76,47,31.33745,-110.93715
Arizona,Yavapai,2021,57,50,7,0,0,0,0,64,51,44,34.340556,-111.683923
Arizona,Yuma,2021,90,74,16,0,0,0,0,94,58,44,32.690278,-114.61444
Arkansas,Arkansas,2021,30,28,2,0,0,0,0,56,44,28,34.518515,-91.55896
Arkansas,Ashley,2021,28,27,1,0,0,0,0,51,43,30,33.139471,-91.939208
Arkansas,Clark,2021,58,57,1,0,0,0,0,54,37,30,34.1795,-93.0988
Arkansas,Crittenden,2021,90,80,10,0,0,0,0,62,52,33,35.197288,-90.193141
Arkansas,Garland,2021,29,26,3,0,0,0,0,52,51,27,34.469441,-93.000178
Arkansas,Jackson,2021,28,26,2,0,0,0,0,56,47,28,35.637283,-91.188906
Arkansas,Newton,2021,90,89,1,0,0,0,0,51,46,34,35.825893,-93.203187
Arkansas,Polk,2021,90,86,4,0,0,0,0,64,47,36,34.454514,-94.143521
Arkansas,Pulaski,2021,91,67,24,0,0,0,0,100,56,40,34.681343,-92.328697
Arkansas,Union,2021,25,22,3,0,0,0,0,54,51,32,33.220563,-92.672263
Arkansas,Washington,2021,90,80,10,0,0,0,0,81,51,36,36.011703,-94.167436
California,Colusa,2021,108,108,0,0,0,0,0,47,29,13,39.18919,-121.99887
California,Fresno,2021,59,39,19,0,0,1,0,278,71,37,37.22064,-119.155557
California,Imperial,2021,34,32,2,0,0,0,0,53,45,31,33.213611,-115.54528
California,Inyo,2021,120,120,0,0,0,0,0,48,42,29,37.155494,-118.293547
California,Kern,2021,32,8,13,10,1,0,0,152,143,92,34.821922,-118.887598
California,Kings,2021,120,103,17,0,0,0,0,77,53,35,36.31567,-119.643447
California,Mariposa,2021,59,58,1,0,0,0,0,67,44,40,37.748707,-119.587094
California,Merced,2021,2,2,0,0,0,0,0,18,18,18,37.30832,-120.480456
California,Monterey,2021,91,89,2,0,0,0,0,67,44,37,36.694261,-121.623271
California,Nevada,2021,120,112,8,0,0,0,0,62,48,38,39.32783,-120.184592
California,Plumas,2021,120,26,76,18,0,0,0,133,115,65,39.81336,-120.47069
California,Riverside,2021,90,65,22,1,2,0,0,196,68,43,33.61235,-114.60209
California,Sacramento,2021,32,15,17,0,0,0,0,92,80,53,38.494475,-121.211131
California,San Benito,2021,90,89,1,0,0,0,0,61,43,37,36.48324,-121.15688
California,San Bernardino,2021,58,55,3,0,0,0,0,51,46,40,34.193925,-116.914063
California,Santa Barbara,2021,32,29,3,0,0,0,0,53,49,39,34.733889,-120.008349
California,Santa Cruz,2021,90,81,9,0,0,0,0,73,53,36,37.06315,-122.083092
California,Shasta,2021,59,57,2,0,0,0,0,54,45,39,40.53999,-121.57646
California,Solano,2021,3,3,0,0,0,0,0,10,10,5,38.35655,-121.94986
California,Stanislaus,2021,2,2,0,0,0,0,0,22,22,22,37.488317,-120.836008
California,Tehama,2021,2,2,0,0,0,0,0,4,4,4,40.17093,-122.25556
California,Tulare,2021,59,59,0,0,0,0,0,48,44,33,36.031831,-119.055018
California,Ventura,2021,90,77,12,1,0,0,0,117,54,42,34.25239,-119.143182
California,Yolo,2021,6,6,0,0,0,0,0,21,21,6,38.57146,-121.52579
Colorado,Adams,2021,89,79,10,0,0,0,0,73,52,37,39.838119,-104.94984
Colorado,Arapahoe,2021,54,50,4,0,0,0,0,86,44,35,39.638522,-104.569335
Colorado,Archuleta,2021,54,53,1,0,0,0,0,51,42,35,37.205862,-107.254118
